"id","Wind Speed (km/h)","Wind Bearing (degrees)","Visibility (km)","Loud Cover"
"1","14.1197","251","15.8263","0"
"2","14.2646","259","15.8263","0"
"3","3.9284","204","14.9569","0"
"4","14.1036","269","15.8263","0"
"5","11.0446","259","15.8263","0"
"6","13.9587","258","14.9569","0"
"7","12.3648","259","9.982","0"
"8","14.1519","260","9.982","0"
"9","11.3183","259","9.982","0"
"10","12.5258","279","9.982","0"
"11","17.5651","290","11.2056","0"
"12","19.7869","316","11.4471","0"
"13","21.9443","281","11.27","0"
"14","20.6885","289","11.27","0"
"15","15.3755","262","11.4471","0"
"16","10.4006","288","11.27","0"
"17","14.4095","251","11.27","0"
"18","11.1573","230","11.4471","0"
"19","8.5169","163","11.2056","0"
"20","7.6314","139","11.2056","0"
"21","7.3899","147","11.0285","0"
"22","4.9266","160","9.982","0"
"23","6.6493","163","15.8263","0"
"24","3.9284","152","14.9569","0"
"25","16.9855","150","15.8263","0"
"26","17.2109","149","15.8263","0"
"27","10.8192","163","14.9569","0"
"28","11.0768","180","15.8263","0"
"29","6.6493","161","15.8263","0"
"30","13.0088","135","14.9569","0"
"31","11.1734","141","6.1985","0"
"32","12.8156","150","8.05","0"
"33","13.7494","160","9.982","0"
"34","15.6331","150","9.982","0"
"35","17.549","151","9.982","0"
"36","22.7815","169","9.982","0"
"37","23.8924","169","9.982","0"
"38","28.3682","170","9.982","0"
"39","26.9031","187","10.3523","0"
"40","25.6956","179","9.982","0"
"41","25.3092","162","9.982","0"
"42","18.1125","161","10.3523","0"
"43","23.4255","160","9.982","0"
"44","20.0445","150","11.2056","0"
"45","21.3969","149","9.982","0"
"46","21.3808","159","9.982","0"
"47","20.0123","159","15.8263","0"
"48","16.5025","168","14.9569","0"
"49","17.0982","160","15.8263","0"
"50","14.3612","160","15.8263","0"
"51","22.0409","32","6.6976","0"
"52","11.3344","152","15.8263","0"
"53","11.2056","180","9.9015","0"
"54","10.4006","161","6.6976","0"
"55","12.0106","140","5.9731","0"
"56","9.2092","103","10.8031","0"
"57","9.9015","113","10.6743","0"
"58","13.8299","129","10.8192","0"
"59","9.0965","159","10.8192","0"
"60","0.644","207","10.7548","0"
"61","0.6762","153","10.8997","0"
"62","3.864","4","10.8514","0"
"63","7.8246","341","11.0768","0"
"64","15.5848","15","10.8514","0"
"65","23.6992","348","10.8836","0"
"66","20.9622","321","7.6153","0"
"67","22.3951","311","2.6565","0"
"68","26.5006","339","2.6565","0"
"69","23.2162","340","3.8157","0"
"70","25.4219","330","4.4919","0"
"71","28.1267","339","4.4436","0"
"72","19.2878","339","5.6833","0"
"73","20.447","341","3.1073","0"
"74","27.8691","19","3.2039","0"
"75","6.7459","277","14.0553","0"
"76","14.9086","9","6.118","0"
"77","25.0355","0","6.118","0"
"78","19.8352","350","6.1663","0"
"79","28.0945","349","7.9695","0"
"80","27.9818","348","6.3434","0"
"81","30.8637","349","10.5455","0"
"82","32.1678","349","11.2056","0"
"83","26.5328","339","11.27","0"
"84","28.336","339","10.5455","0"
"85","29.8333","348","11.27","0"
"86","28.4809","339","11.27","0"
"87","28.5131","338","11.0768","0"
"88","25.6956","320","11.27","0"
"89","25.3414","311","11.27","0"
"90","21.413","311","9.982","0"
"91","17.8549","310","14.9086","0"
"92","15.1984","328","9.982","0"
"93","15.7297","348","11.0285","0"
"94","12.3648","20","9.982","0"
"95","13.8943","28","15.8263","0"
"96","9.8049","11","15.0052","0"
"97","6.6654","326","15.8746","0"
"98","7.1162","309","15.8746","0"
"99","3.7191","193","9.982","0"
"100","14.4739","273","15.8263","0"
"101","20.5275","300","15.8263","0"
"102","19.3039","309","14.9569","0"
"103","17.4363","300","9.982","0"
"104","20.4148","300","9.982","0"
"105","17.0499","307","9.982","0"
"106","20.5114","319","9.982","0"
"107","17.6456","328","9.982","0"
"108","14.4095","318","9.982","0"
"109","10.7548","321","10.0464","0"
"110","4.8622","349","10.0464","0"
"111","2.3828","348","10.0303","0"
"112","0.322","243","9.982","0"
"113","3.2522","177","11.2056","0"
"114","3.0107","170","11.0285","0"
"115","10.465","172","9.982","0"
"116","7.3416","172","9.982","0"
"117","9.5151","150","9.982","0"
"118","9.9981","142","9.982","0"
"119","13.685","141","11.9784","0"
"120","11.5437","141","14.168","0"
"121","12.719","142","14.9086","0"
"122","12.8961","130","14.9086","0"
"123","0.6923","359","15.0052","0"
"124","5.5384","166","9.982","0"
"125","5.2003","145","9.982","0"
"126","5.6189","170","5.9248","0"
"127","4.7656","178","1.2236","0"
"128","7.9212","223","7.2128","0"
"129","9.7566","240","10.6743","0"
"130","9.6922","231","11.2056","0"
"131","14.49","230","9.982","0"
"132","20.3343","214","11.0285","0"
"133","23.5865","222","11.27","0"
"134","22.2985","241","11.27","0"
"135","14.7154","235","11.4471","0"
"136","14.49","238","11.27","0"
"137","14.7154","211","11.27","0"
"138","19.5937","221","11.4471","0"
"139","14.8281","215","11.1251","0"
"140","11.9784","224","11.27","0"
"141","11.5598","231","11.4471","0"
"142","14.2485","358","10.0464","0"
"143","11.2539","8","15.8746","0"
"144","5.7799","59","15.0052","0"
"145","2.6404","63","15.8746","0"
"146","5.313","65","15.8746","0"
"147","11.3827","146","14.9569","0"
"148","3.6547","305","14.9086","0"
"149","10.8675","327","14.9086","0"
"150","6.5205","319","13.3791","0"
"151","11.3988","271","9.982","0"
"152","9.66","297","9.982","0"
"153","15.9551","289","9.982","0"
"154","13.1698","310","9.982","0"
"155","13.1698","301","11.2056","0"
"156","9.6761","307","11.4471","0"
"157","11.2378","307","11.27","0"
"158","12.7029","308","11.27","0"
"159","10.6099","279","11.4471","0"
"160","7.9534","272","11.2056","0"
"161","2.5921","351","11.2056","0"
"162","11.0124","175","10.3523","0"
"163","9.1931","172","9.982","0"
"164","9.1609","160","9.982","0"
"165","9.2736","138","9.982","0"
"166","9.4507","141","9.982","0"
"167","11.0768","141","15.8263","0"
"168","13.3791","149","14.9569","0"
"169","14.1358","151","15.8263","0"
"170","11.3183","158","15.8263","0"
"171","9.177","259","14.168","0"
"172","14.168","141","15.8263","0"
"173","14.2968","151","15.8263","0"
"174","13.8299","152","14.9569","0"
"175","14.007","132","9.982","0"
"176","15.4882","150","9.982","0"
"177","13.8782","163","10.3523","0"
"178","14.4578","209","9.982","0"
"179","25.0194","221","11.27","0"
"180","27.37","230","11.4471","0"
"181","22.218","251","11.27","0"
"182","23.5382","250","11.27","0"
"183","19.8996","240","11.3988","0"
"184","17.5007","243","11.27","0"
"185","17.6939","281","11.27","0"
"186","19.5615","295","11.3988","0"
"187","21.8155","280","11.2056","0"
"188","17.2753","280","11.2056","0"
"189","11.7691","279","11.2861","0"
"190","11.0446","270","11.0768","0"
"191","11.0607","277","15.6975","0"
"192","7.2933","239","14.8764","0"
"193","6.923","241","15.8263","0"
"194","11.1734","242","15.8263","0"
"195","10.3201","266","6.8425","0"
"196","11.1734","278","14.9086","0"
"197","14.007","269","14.9086","0"
"198","7.2933","269","14.168","0"
"199","6.7298","297","15.8263","0"
"200","7.889","307","9.982","0"
"201","11.8657","305","9.982","0"
"202","20.0123","308","11.2056","0"
"203","17.5812","300","11.2056","0"
"204","15.9551","319","11.4471","0"
"205","16.3093","309","11.27","0"
"206","17.7744","290","11.2056","0"
"207","19.0785","297","15.3594","0"
"208","17.5973","319","11.27","0"
"209","20.3343","310","11.27","0"
"210","13.7172","316","11.4471","0"
"211","14.3773","309","9.982","0"
"212","10.8997","310","9.982","0"
"213","4.7173","325","9.982","0"
"214","4.669","282","9.982","0"
"215","3.5742","281","15.8263","0"
"216","5.7477","274","14.9569","0"
"217","11.27","280","11.9784","0"
"218","3.1234","255","11.9784","0"
"219","9.6278","46","14.9569","0"
"220","3.4293","277","4.2987","0"
"221","3.3488","284","4.1216","0"
"222","2.9946","283","4.7656","0"
"223","3.3005","313","2.9302","0"
"224","1.4329","290","5.8443","0"
"225","2.415","345","9.6117","0"
"226","4.1538","16","9.6761","0"
"227","7.3738","332","9.9015","0"
"228","7.8085","350","11.0768","0"
"229","7.3738","330","11.27","0"
"230","8.372","12","11.27","0"
"231","7.0679","39","11.4471","0"
"232","10.8675","3","11.27","0"
"233","4.8139","9","11.2056","0"
"234","4.7978","33","11.3988","0"
"235","10.9319","24","11.2056","0"
"236","10.8514","33","9.982","0"
"237","5.0876","25","10.3523","0"
"238","9.177","32","9.982","0"
"239","10.9319","31","15.8263","0"
"240","6.3756","47","14.9569","0"
"241","6.5366","67","15.8263","0"
"242","14.2163","60","15.8263","0"
"243","3.6064","144","2.0125","0"
"244","8.4364","57","11.2056","0"
"245","14.4256","31","14.9086","0"
"246","13.8943","12","14.168","0"
"247","15.778","12","11.2056","0"
"248","15.5848","2","11.27","0"
"249","12.3809","11","11.0768","0"
"250","20.3826","11","11.27","0"
"251","22.0892","19","11.27","0"
"252","22.3468","18","10.3523","0"
"253","18.0642","20","11.2056","0"
"254","17.6456","48","11.2056","0"
"255","14.0875","46","11.0285","0"
"256","13.4113","29","11.2056","0"
"257","14.6188","19","11.2056","0"
"258","9.2414","340","11.0285","0"
"259","23.0713","39","11.2056","0"
"260","3.7674","335","5.2164","0"
"261","3.1395","228","8.05","0"
"262","10.3362","274","9.982","0"
"263","5.796","310","14.9086","0"
"264","9.8854","315","14.5866","0"
"265","6.4883","146","15.8263","0"
"266","14.0231","160","15.8263","0"
"267","4.5724","40","11.3988","0"
"268","10.7709","143","15.8263","0"
"269","6.5366","133","15.8263","0"
"270","6.0858","163","14.9569","0"
"271","10.7065","136","15.8263","0"
"272","10.4972","158","11.2056","0"
"273","8.0017","151","11.0285","0"
"274","2.4633","355","9.982","0"
"275","9.3058","123","9.982","0"
"276","7.1645","132","10.3523","0"
"277","11.753","199","9.982","0"
"278","7.1323","227","11.27","0"
"279","3.6225","251","11.4471","0"
"280","1.7549","156","11.27","0"
"281","8.6779","113","11.27","0"
"282","2.8336","261","11.3988","0"
"283","9.2414","357","11.2056","0"
"284","7.4221","147","11.2056","0"
"285","3.542","161","11.0285","0"
"286","3.1073","149","9.9015","0"
"287","6.44","190","15.6009","0"
"288","4.6046","138","14.7154","0"
"289","3.0268","311","15.8263","0"
"290","5.1681","178","0.6118","0"
"291","2.8497","298","3.6386","0"
"292","5.7155","123","0.6118","0"
"293","6.762","10","0.6118","0"
"294","5.6189","133","1.1109","0"
"295","2.254","127","0.5152","0"
"296","0.3381","81","0.4347","0"
"297","2.7531","358","0.6923","0"
"298","2.254","152","2.2057","0"
"299","8.0983","135","4.2021","0"
"300","2.2862","153","6.3112","0"
"301","3.2844","120","6.3434","0"
"302","7.5992","162","8.1949","0"
"303","10.5616","134","6.8908","0"
"304","6.6654","115","7.2772","0"
"305","7.7119","139","7.2772","0"
"306","7.2772","152","6.3112","0"
"307","11.4793","310","4.7495","0"
"308","5.2808","347","5.2164","0"
"309","2.3506","72","5.8282","0"
"310","8.05","320","6.1985","0"
"311","6.1985","349","6.1985","0"
"312","2.7692","335","3.8318","0"
"313","3.1556","358","4.508","0"
"314","5.9892","301","3.1234","0"
"315","5.9731","326","1.8032","0"
"316","6.279","340","3.8801","0"
"317","6.44","350","3.864","0"
"318","6.4239","332","3.2522","0"
"319","4.83","340","0.644","0"
"320","9.66","10","1.2558","0"
"321","7.6636","7","2.3506","0"
"322","7.9695","1","4.025","0"
"323","7.9212","30","4.4919","0"
"324","10.3845","8","6.2629","0"
"325","8.1466","345","6.1985","0"
"326","7.1645","308","11.27","0"
"327","13.3469","352","11.0285","0"
"328","13.6206","353","11.27","0"
"329","8.2754","85","11.27","0"
"330","5.2808","49","11.0768","0"
"331","11.1573","21","11.27","0"
"332","3.6869","23","11.27","0"
"333","1.1431","35","9.6278","0"
"334","0.6601","30","8.1305","0"
"335","4.8461","56","1.0626","0"
"336","3.381","11","1.7871","0"
"337","3.3649","349","1.0626","0"
"338","6.4239","321","3.3649","0"
"339","3.2361","319","4.4597","0"
"340","3.3166","313","1.9159","0"
"341","2.6243","337","1.7549","0"
"342","3.9445","335","2.3667","0"
"343","1.8515","319","0.2898","0"
"344","3.4776","295","1.7549","0"
"345","2.8819","285","2.5599","0"
"346","3.4293","349","6.2951","0"
"347","4.8783","339","9.982","0"
"348","3.059","308","11.0768","0"
"349","4.2021","306","11.27","0"
"350","4.0894","6","11.27","0"
"351","1.2236","72","11.1412","0"
"352","9.0643","352","11.27","0"
"353","9.4829","2","11.27","0"
"354","7.4865","15","11.3988","0"
"355","9.1287","23","11.2056","0"
"356","7.567","24","11.2056","0"
"357","0.5152","116","9.982","0"
"358","3.9445","197","9.982","0"
"359","1.5295","140","15.8263","0"
"360","2.9624","275","14.9569","0"
"361","6.0375","290","14.812","0"
"362","3.0751","270","9.8049","0"
"363","5.2969","278","4.7495","0"
"364","1.5295","100","4.025","0"
"365","3.22","300","2.0286","0"
"366","3.3971","333","1.7388","0"
"367","6.3434","304","0.7889","0"
"368","11.27","140","9.8049","0"
"369","1.7066","129","9.5473","0"
"370","3.22","300","9.982","0"
"371","7.245","160","9.982","0"
"372","6.4883","209","10.0303","0"
"373","6.5044","179","15.8746","0"
"374","7.5348","235","11.27","0"
"375","6.4561","145","11.4471","0"
"376","1.0143","262","10.0464","0"
"377","5.1842","90","10.0464","0"
"378","7.2772","58","11.4471","0"
"379","1.4812","179","10.0464","0"
"380","0.322","157","9.982","0"
"381","0.5313","139","9.982","0"
"382","0","0","9.982","0"
"383","2.8819","329","15.8263","0"
"384","2.4794","262","9.982","0"
"385","3.1717","268","6.2951","0"
"386","11.27","280","6.2951","0"
"387","4.6207","172","14.168","0"
"388","3.0751","273","3.8318","0"
"389","1.5295","320","3.3649","0"
"390","3.6386","317","4.2826","0"
"391","0","0","0.7406","0"
"392","1.61","210","4.1216","0"
"393","2.6565","193","8.3398","0"
"394","1.5295","140","9.982","0"
"395","4.8783","199","9.982","0"
"396","4.2826","226","11.0285","0"
"397","3.6225","188","11.2056","0"
"398","4.5563","292","9.982","0"
"399","6.2951","154","10.3523","0"
"400","2.5599","333","9.982","0"
"401","4.347","178","9.982","0"
"402","1.1753","205","10.3523","0"
"403","3.1234","214","9.982","0"
"404","0.4025","181","9.982","0"
"405","2.6887","185","9.982","0"
"406","1.5778","228","9.982","0"
"407","3.7513","136","15.8263","0"
"408","3.4132","185","14.9569","0"
"409","3.2522","169","15.8263","0"
"410","3.1717","148","14.9086","0"
"411","4.991","68","14.9569","0"
"412","6.2629","169","14.9086","0"
"413","6.4239","187","14.812","0"
"414","9.7083","151","14.0875","0"
"415","9.1448","141","6.118","0"
"416","7.7441","169","9.9015","0"
"417","8.7584","154","9.9015","0"
"418","12.1877","150","9.982","0"
"419","12.6224","150","9.982","0"
"420","9.9176","147","10.3523","0"
"421","11.4471","168","11.2056","0"
"422","8.5491","155","11.2056","0"
"423","11.3022","153","11.3988","0"
"424","8.3076","142","9.982","0"
"425","8.5813","150","9.982","0"
"426","10.7065","145","10.3523","0"
"427","12.4936","178","9.982","0"
"428","5.2164","137","9.982","0"
"429","4.8622","95","10.3523","0"
"430","4.6046","50","9.982","0"
"431","6.44","80","15.8263","0"
"432","6.7459","83","14.9569","0"
"433","3.542","73","15.8263","0"
"434","3.0751","70","15.8263","0"
"435","6.0858","50","14.9569","0"
"436","6.44","190","15.8263","0"
"437","3.22","340","15.4721","0"
"438","3.7513","48","14.8764","0"
"439","1.5617","106","10.9802","0"
"440","2.7048","193","9.8049","0"
"441","7.245","147","10.3523","0"
"442","3.4132","94","9.982","0"
"443","4.6046","178","9.982","0"
"444","4.4275","117","10.4006","0"
"445","7.6636","53","11.27","0"
"446","9.66","82","11.2056","0"
"447","8.0017","70","11.3988","0"
"448","9.2897","136","11.2056","0"
"449","3.5903","185","11.2056","0"
"450","4.9588","101","10.3523","0"
"451","9.4829","102","9.982","0"
"452","3.6869","101","9.982","0"
"453","6.2146","28","10.3523","0"
"454","14.49","30","9.982","0"
"455","3.1073","54","9.982","0"
"456","12.2843","23","11.9301","0"
"457","13.846","31","15.8263","0"
"458","10.9963","52","15.8263","0"
"459","9.982","53","12.0428","0"
"460","6.2468","48","15.8263","0"
"461","3.3488","72","15.8263","0"
"462","6.2307","38","15.2628","0"
"463","2.4633","139","9.982","0"
"464","10.2879","160","9.982","0"
"465","10.2879","154","9.982","0"
"466","12.0589","147","9.982","0"
"467","7.4704","166","9.982","0"
"468","10.0947","158","9.982","0"
"469","9.0965","128","9.982","0"
"470","7.5187","177","9.982","0"
"471","3.8962","166","9.982","0"
"472","4.6368","170","9.982","0"
"473","4.8944","164","9.982","0"
"474","7.2128","161","9.982","0"
"475","7.6475","153","9.982","0"
"476","10.5777","142","9.982","0"
"477","20.608","151","11.0285","0"
"478","8.4364","146","9.9015","0"
"479","11.0768","103","11.8979","0"
"480","3.6708","142","11.6886","0"
"481","3.5098","116","11.9784","0"
"482","3.3488","71","11.9784","0"
"483","5.474","139","14.9569","0"
"484","10.7709","63","14.9086","0"
"485","10.6904","72","14.812","0"
"486","10.3201","82","14.0875","0"
